DETERMINISTIC SPLIT VERIFICATION REPORT
============================================================
Class 00 [adhirasam]: 35 Train, 5 Val, 10 Test (First test: 7dd072e690.jpg)
Class 01 [aloo_gobi]: 35 Train, 5 Val, 10 Test (First test: 6f21bcc3db.jpg)
Class 02 [aloo_matar]: 35 Train, 5 Val, 10 Test (First test: 7a6ee0d943.jpg)
Class 03 [aloo_methi]: 35 Train, 5 Val, 10 Test (First test: 7dd01e2bbc.jpg)
Class 04 [aloo_shimla_mirch]: 35 Train, 5 Val, 10 Test (First test: 8a9cd7728f.jpg)
Class 05 [aloo_tikki]: 35 Train, 5 Val, 10 Test (First test: 8a2bbb6763.jpg)
Class 06 [anarsa]: 35 Train, 5 Val, 10 Test (First test: 7ecbf8df97.jpg)
Class 07 [ariselu]: 35 Train, 5 Val, 10 Test (First test: 8a85b13743.jpg)
Class 08 [bandar_laddu]: 35 Train, 5 Val, 10 Test (First test: 7d2f6365ad.jpg)
Class 09 [basundi]: 35 Train, 5 Val, 10 Test (First test: 7fd14d6e5a.jpg)
Class 10 [bhatura]: 35 Train, 5 Val, 10 Test (First test: 8a31202469.jpg)
Class 11 [bhindi_masala]: 35 Train, 5 Val, 10 Test (First test: 8d42b9557a.jpg)
Class 12 [biryani]: 35 Train, 5 Val, 10 Test (First test: 6d6cb5a684.jpg)
Class 13 [boondi]: 35 Train, 5 Val, 10 Test (First test: 7c3122b2d8.jpg)
Class 14 [butter_chicken]: 35 Train, 5 Val, 10 Test (First test: 7d334aaa93.jpg)
Class 15 [chak_hao_kheer]: 35 Train, 5 Val, 10 Test (First test: 7b149704ee.jpg)
Class 16 [cham_cham]: 35 Train, 5 Val, 10 Test (First test: 6a737cbbd0.jpg)
Class 17 [chana_masala]: 35 Train, 5 Val, 10 Test (First test: 8aa8e155da.jpg)
Class 18 [chapati]: 35 Train, 5 Val, 10 Test (First test: 8d039baaee.jpg)
Class 19 [chhena_kheeri]: 35 Train, 5 Val, 10 Test (First test: 7faafd75ca.jpg)
Class 20 [chicken_razala]: 35 Train, 5 Val, 10 Test (First test: 7f4bcc7e62.jpg)
Class 21 [chicken_tikka]: 35 Train, 5 Val, 10 Test (First test: 8bae999e5f.jpg)
Class 22 [chicken_tikka_masala]: 35 Train, 5 Val, 10 Test (First test: 7c9a3293e3.jpg)
Class 23 [chikki]: 35 Train, 5 Val, 10 Test (First test: 7c587bd3ca.jpg)
Class 24 [daal_baati_churma]: 35 Train, 5 Val, 10 Test (First test: 7caeb867eb.jpg)
Class 25 [daal_puri]: 35 Train, 5 Val, 10 Test (First test: 8d0afb4d37.jpg)
Class 26 [dal_makhani]: 35 Train, 5 Val, 10 Test (First test: 72ba0c4387.jpg)
Class 27 [dal_tadka]: 35 Train, 5 Val, 10 Test (First test: 7d2e45b656.jpg)
Class 28 [dharwad_pedha]: 35 Train, 5 Val, 10 Test (First test: 8c16a386bb.jpg)
Class 29 [doodhpak]: 35 Train, 5 Val, 10 Test (First test: 7bfa1f53d6.jpg)
Class 30 [double_ka_meetha]: 35 Train, 5 Val, 10 Test (First test: 7f05d7e6c9.jpg)
Class 31 [dum_aloo]: 35 Train, 5 Val, 10 Test (First test: 6ae8ad7d36.jpg)
Class 32 [gajar_ka_halwa]: 35 Train, 5 Val, 10 Test (First test: 7f667a3d88.jpg)
Class 33 [gavvalu]: 35 Train, 5 Val, 10 Test (First test: 6e8117ecbc.jpg)
Class 34 [ghevar]: 35 Train, 5 Val, 10 Test (First test: 6fe224a53d.jpg)
Class 35 [gulab_jamun]: 35 Train, 5 Val, 10 Test (First test: 7f67f6fa4c.jpg)
Class 36 [imarti]: 35 Train, 5 Val, 10 Test (First test: 6c7adf44cc.jpg)
Class 37 [jalebi]: 35 Train, 5 Val, 10 Test (First test: f8b7967fda.jpg)
Class 38 [kachori]: 35 Train, 5 Val, 10 Test (First test: 8f3d41958d.jpg)
Class 39 [kadai_paneer]: 35 Train, 5 Val, 10 Test (First test: 8a216b0dfc.jpg)
Class 40 [kadhi_pakoda]: 35 Train, 5 Val, 10 Test (First test: 84faf10e16.jpg)
Class 41 [kajjikaya]: 35 Train, 5 Val, 10 Test (First test: 7cae18f93c.jpg)
