filepath,class_id,class_name,split
/kaggle/input/datasets/iamsouravbanerjee/indian-food-images-dataset/Indian Food Images/Indian Food Images/adhirasam/02d09e872d.jpg,0,adhirasam,train
/kaggle/input/datasets/iamsouravbanerjee/indian-food-images-dataset/Indian Food Images/Indian Food Images/adhirasam/02f2e49039.jpg,0,adhirasam,train
/kaggle/input/datasets/iamsouravbanerjee/indian-food-images-dataset/Indian Food Images/Indian Food Images/adhirasam/06c639bab2.jpg,0,adhirasam,train
/kaggle/input/datasets/iamsouravbanerjee/indian-food-images-dataset/Indian Food Images/Indian Food Images/adhirasam/08b8f8efc1.jpg,0,adhirasam,train
/kaggle/input/datasets/iamsouravbanerjee/indian-food-images-dataset/Indian Food Images/Indian Food Images/adhirasam/09a37d7cc7.jpg,0,adhirasam,train
/kaggle/input/datasets/iamsouravbanerjee/indian-food-images-dataset/Indian Food Images/Indian Food Images/adhirasam/0cd70ffc10.jpg,0,adhirasam,train
/kaggle/input/datasets/iamsouravbanerjee/indian-food-images-dataset/Indian Food Images/Indian Food Images/adhirasam/0d09b0e580.jpg,0,adhirasam,train
/kaggle/input/datasets/iamsouravbanerjee/indian-food-images-dataset/Indian Food Images/Indian Food Images/adhirasam/0e84c2b7fd.jpg,0,adhirasam,train
/kaggle/input/datasets/iamsouravbanerjee/indian-food-images-dataset/Indian Food Images/Indian Food Images/adhirasam/10f608ecc4.jpg,0,adhirasam,train
/kaggle/input/datasets/iamsouravbanerjee/indian-food-images-dataset/Indian Food Images/Indian Food Images/adhirasam/12b1eb8026.jpg,0,adhirasam,train
/kaggle/input/datasets/iamsouravbanerjee/indian-food-images-dataset/Indian Food Images/Indian Food Images/adhirasam/13a2cfd13f.jpg,0,adhirasam,train
/kaggle/input/datasets/iamsouravbanerjee/indian-food-images-dataset/Indian Food Images/Indian Food Images/adhirasam/13d63deed2.jpg,0,adhirasam,train
/kaggle/input/datasets/iamsouravbanerjee/indian-food-images-dataset/Indian Food Images/Indian Food Images/adhirasam/14a2340ece.jpg,0,adhirasam,train
/kaggle/input/datasets/iamsouravbanerjee/indian-food-images-dataset/Indian Food Images/Indian Food Images/adhirasam/14d893495c.jpg,0,adhirasam,train
/kaggle/input/datasets/iamsouravbanerjee/indian-food-images-dataset/Indian Food Images/Indian Food Images/adhirasam/1a77e9cec2.jpg,0,adhirasam,train
/kaggle/input/datasets/iamsouravbanerjee/indian-food-images-dataset/Indian Food Images/Indian Food Images/adhirasam/1a9346fd1e.jpg,0,adhirasam,train
/kaggle/input/datasets/iamsouravbanerjee/indian-food-images-dataset/Indian Food Images/Indian Food Images/adhirasam/1d8712cb99.jpg,0,adhirasam,train
/kaggle/input/datasets/iamsouravbanerjee/indian-food-images-dataset/Indian Food Images/Indian Food Images/adhirasam/1fe5414330.jpg,0,adhirasam,train
/kaggle/input/datasets/iamsouravbanerjee/indian-food-images-dataset/Indian Food Images/Indian Food Images/adhirasam/2f6cc87911.jpg,0,adhirasam,train
/kaggle/input/datasets/iamsouravbanerjee/indian-food-images-dataset/Indian Food Images/Indian Food Images/adhirasam/3a38984b2b.jpg,0,adhirasam,train
/kaggle/input/datasets/iamsouravbanerjee/indian-food-images-dataset/Indian Food Images/Indian Food Images/adhirasam/3a804a31ab.jpg,0,adhirasam,train
/kaggle/input/datasets/iamsouravbanerjee/indian-food-images-dataset/Indian Food Images/Indian Food Images/adhirasam/3bfa35cec4.jpg,0,adhirasam,train
/kaggle/input/datasets/iamsouravbanerjee/indian-food-images-dataset/Indian Food Images/Indian Food Images/adhirasam/3c92b54e3f.jpg,0,adhirasam,train
/kaggle/input/datasets/iamsouravbanerjee/indian-food-images-dataset/Indian Food Images/Indian Food Images/adhirasam/3d7b2d49d0.jpg,0,adhirasam,train
/kaggle/input/datasets/iamsouravbanerjee/indian-food-images-dataset/Indian Food Images/Indian Food Images/adhirasam/3d959a621f.jpg,0,adhirasam,train
/kaggle/input/datasets/iamsouravbanerjee/indian-food-images-dataset/Indian Food Images/Indian Food Images/adhirasam/4a16219bba.jpg,0,adhirasam,train
/kaggle/input/datasets/iamsouravbanerjee/indian-food-images-dataset/Indian Food Images/Indian Food Images/adhirasam/4b4cdebe22.jpg,0,adhirasam,train
/kaggle/input/datasets/iamsouravbanerjee/indian-food-images-dataset/Indian Food Images/Indian Food Images/adhirasam/4ba54c8c49.jpg,0,adhirasam,train
/kaggle/input/datasets/iamsouravbanerjee/indian-food-images-dataset/Indian Food Images/Indian Food Images/adhirasam/4dc22aeaa4.jpg,0,adhirasam,train
/kaggle/input/datasets/iamsouravbanerjee/indian-food-images-dataset/Indian Food Images/Indian Food Images/adhirasam/4df2abf698.jpg,0,adhirasam,train
/kaggle/input/datasets/iamsouravbanerjee/indian-food-images-dataset/Indian Food Images/Indian Food Images/adhirasam/4e9dd787c7.jpg,0,adhirasam,train
/kaggle/input/datasets/iamsouravbanerjee/indian-food-images-dataset/Indian Food Images/Indian Food Images/adhirasam/5b3f7359b7.jpg,0,adhirasam,train
/kaggle/input/datasets/iamsouravbanerjee/indian-food-images-dataset/Indian Food Images/Indian Food Images/adhirasam/5f7df33e72.jpg,0,adhirasam,train
/kaggle/input/datasets/iamsouravbanerjee/indian-food-images-dataset/Indian Food Images/Indian Food Images/adhirasam/5f8b688ebc.jpg,0,adhirasam,train
/kaggle/input/datasets/iamsouravbanerjee/indian-food-images-dataset/Indian Food Images/Indian Food Images/adhirasam/5fc5acb884.jpg,0,adhirasam,train
/kaggle/input/datasets/iamsouravbanerjee/indian-food-images-dataset/Indian Food Images/Indian Food Images/aloo_gobi/00fce13f41.jpg,1,aloo_gobi,train
/kaggle/input/datasets/iamsouravbanerjee/indian-food-images-dataset/Indian Food Images/Indian Food Images/aloo_gobi/04f6621f19.jpg,1,aloo_gobi,train
/kaggle/input/datasets/iamsouravbanerjee/indian-food-images-dataset/Indian Food Images/Indian Food Images/aloo_gobi/07e76a41ce.jpg,1,aloo_gobi,train
